term,replacement
WWW memory,WWW_memory
WWW memories,WWW_memory
contextualized memory,contextualized_memory
contextualized memories,contextualized_memory
episodic-like memory,episodic-like_memory
episodic-like memories,episodic-like_memory
event memory,event_memory
event memories,event_memory
recollective memory,recollective_memory
recollective memories,recollective_memory
declarative memory,declarative_memory
declarative memories,declarative_memory
contextual memory,contextual_memory
contextual memories,contextual_memory
context memory,context_memory
context memories,context_memory
source memory,source_memory
source memories,source_memory
eidetic memory,eidetic_memory
eidetic memories,eidetic_memory
photographic memory,photographic_memory
photographic memories,photographic_memory
total memory,total_memory
total memories,total_memory
total recall,total_recall
total recalls,total_recall
vicarious memory,vicarious_memory
vicarious memories,vicarious_memory
action memory,action_memory
action memories,action_memory
temporal memory,temporal_memory
temporal memories,temporal_memory
time memory,time_memory
time memories,time_memory
retrospective memory,retrospective_memory
retrospective memories,retrospective_memory
destination memory,destination_memory
destination memories,destination_memory
episodic trace,episodic_trace
episodic traces,episodic_trace
prospective memory,prospective_memory
prospective memories,prospective_memory
delayed intention,delayed_intention
delayed intentions,delayed_intention
memory for intention,memory_for_intention
memories for intention,memory_for_intention
memory for planned intention,memory_for_planned_intention
memories for planned intention,memory_for_planned_intention
prospective remembering,prospective_remembering
prospective rememberings,prospective_remembering
realization of delayed intentions,realization_of_delayed_intentions
realizations of delayed intentions,realization_of_delayed_intentions
remembering to recall,remembering_to_recall
remembering to recall,remembering_to_recall
remembering to remember,remembering_to_remember
remembering to remember,remembering_to_remember
memory blindness effect,memory_blindness_effect
memory blindness effects,memory_blindness_effect
aphantasia,aphantasia
aphantasias,aphantasia
blind imagination,blind_imagination
blind imaginations,blind_imagination
congenital aphantasia,congenital_aphantasia
congenital aphantasias,congenital_aphantasia
defective revisualisation,defective_revisualisation
defective revisualisations,defective_revisualisation
visual irreminiscence,visual_irreminiscence
visual irreminiscences,visual_irreminiscence
method of loci,method_of_loci
methods of loci,method_of_loci
MoL,MoL
Mols,MoL
loci method,loci_method
loci methods,loci_method
loci mnemonics,loci_mnemonics
loci mnemonics,loci_mnemonics
memory palace,memory_palace
memory palaces,memory_palace
mental walk technique,mental_walk_technique
mental walk techniques,mental_walk_technique
palace of memory,palace_of_memory
palaces of memory,palace_of_memory
alpha rhythm,alpha_rhythm
alpha rhythms,alpha_rhythm
alpha frequency,alpha_frequency
alpha frequencies,alpha_frequency
alpha oscillation,alpha_oscillation
alpha oscillations,alpha_oscillation
alpha power,alpha_power
alpha powers,alpha_power
alpha wave,alpha_wave
alpha waves,alpha_wave
age of acquisition,age_of_acquisition
ages of acquisition,age_of_acquisition
autobiographically significant concept,autobiographically_significant_concept
autobiographically significant concepts,autobiographically_significant_concept
multiple trace theory,multiple_trace_theory
multiple trace theories,multiple_trace_theory
MTT,MTT
MTTS,MTT
testimony,testimony
testimonies,testimony
eyewitness identification,eyewitness_identification
eyewitness identifications,eyewitness_identification
eyewitness memory,eyewitness_memory
eyewitness memories,eyewitness_memory
eyewitness testimony,eyewitness_testimony
eyewitness testimonies,eyewitness_testimony
suspect identification,suspect_identification
suspect identifications,suspect_identification
witness memory,witness_memory
witness memories,witness_memory
witness testimony,witness_testimony
witness testimonies,witness_testimony
sharp wave ripple,sharp_wave_ripple
sharp wave ripples,sharp_wave_ripple
SPW-R,SPW-R
SPW-RS,SPW-R
SWR,SWR
SWR,SWR
saving-enhanced memory effect,saving-enhanced_memory_effect
saving-enhanced memory effects,saving-enhanced_memory_effect
concept cell,concept_cell
concept cells,concept_cell
Jennifer Aniston neuron,Jennifer_Aniston_neuron
Jennifer Aniston neurons,Jennifer_Aniston_neuron
grandmother cell,grandmother_cell
grandmother cells,grandmother_cell
event boundary advantage,event_boundary_advantage
event boundary advantages,event_boundary_advantage
ventrolateral prefrontal cortex,ventrolateral_prefrontal_cortex
ventrolateral prefrontal cortexes,ventrolateral_prefrontal_cortex
VLPFC,VLPFC
VLPFC,VLPFC
self-enhancement bias,self-enhancement_bias
self-enhancement biases,self-enhancement_bias
self-enhancement effect,self-enhancement_effect
self-enhancement effects,self-enhancement_effect
self-enhancement memory bias,self-enhancement_memory_bias
self-enhancement memory biases,self-enhancement_memory_bias
photo-taking impairment effect,photo-taking_impairment_effect
photo-taking impairment effects,photo-taking_impairment_effect
cue utilization hypothesis,cue_utilization_hypothesis
cue utilization hypotheses,cue_utilization_hypothesis
cue utilization theory,cue_utilization_theory
cue utilization theories,cue_utilization_theory
part-list cuing effect,part-list_cuing_effect
part-list cuing effects,part-list_cuing_effect
part-set cuing effect,part-set_cuing_effect
part-set cuing effects,part-set_cuing_effect
part-set cuing impairment,part-set_cuing_impairment
part-set cuing impairments,part-set_cuing_impairment
imagination facilitation effect,imagination_facilitation_effect
imagination facilitation effects,imagination_facilitation_effect
K.C. case,K.C._case
K.C. cases,K.C._case
K.C. patient,K.C._patient
K.C. patients,K.C._patient
N.N. case,N.N._case
N.N. cases,N.N._case
N.N. patient,N.N._patient
N.N. patients,N.N._patient
jamais vu,jamais_vu
jamais vus,jamais_vu
jamais vu experience,jamais_vu_experience
jamais vu experiences,jamais_vu_experience
jamais vu sensation,jamais_vu_sensation
jamais vu sensations,jamais_vu_sensation
replay,replay
replays,replay
neuronal replay,neuronal_replay
neuronal replays,neuronal_replay
beta rhythm,beta_rhythm
beta rhythms,beta_rhythm
beta oscillation,beta_oscillation
beta oscillations,beta_oscillation
beta power,beta_power
beta powers,beta_power
beta wave,beta_wave
beta waves,beta_wave
repetition decrement effect,repetition_decrement_effect
repetition decrement effects,repetition_decrement_effect
conjunctive coding,conjunctive_coding
conjunctive coding,conjunctive_coding
